2023-05-15 18:05:780 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 18:05:642 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (92cc9c4d10c19e84864d42efdec3b1c3)] -> link text: Desktops]
2023-05-15 18:05:708 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (92cc9c4d10c19e84864d42efdec3b1c3)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (92cc9c4d10c19e84864d42efdec3b1c3)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-15 18:05:37 INFO  DesktopPage :32 - Get desktop text[[ChromeDriver: chrome on WINDOWS (92cc9c4d10c19e84864d42efdec3b1c3)] -> xpath: //h2[contains(text(),'Desktops')]]
2023-05-15 18:05:940 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 18:05:168 INFO  HomePage :65 - Click on laptops and notebooks [[ChromeDriver: chrome on WINDOWS (aef1ee0b22a7bc6eb4555dae396abc67)] -> link text: Laptops & Notebooks]
2023-05-15 18:05:191 INFO  HomePage :45 - Select Show AllLaptops & Notebooks from [[[ChromeDriver: chrome on WINDOWS (aef1ee0b22a7bc6eb4555dae396abc67)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (aef1ee0b22a7bc6eb4555dae396abc67)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-15 18:05:142 INFO  LaptopsAndNotebooksPage :32 - Get text [[ChromeDriver: chrome on WINDOWS (aef1ee0b22a7bc6eb4555dae396abc67)] -> xpath: //h2[contains(text(),'Laptops & Notebooks')]]
2023-05-15 18:05:279 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 18:05:363 INFO  HomePage :70 - Click on components [[ChromeDriver: chrome on WINDOWS (403ea38a92369340f403bc13a31c6cf0)] -> link text: Components]
2023-05-15 18:05:383 INFO  HomePage :45 - Select Show AllComponents from [[[ChromeDriver: chrome on WINDOWS (403ea38a92369340f403bc13a31c6cf0)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (403ea38a92369340f403bc13a31c6cf0)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-15 18:05:310 INFO  LaptopsAndNotebooksPage :32 - Get text Proxy element for: DefaultElementLocator 'By.xpath: //h2[contains(text(),'Laptops & Notebooks')]'
2023-05-15 18:05:286 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 18:05:530 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (26094db49674fcd41787e000d5735781)] -> link text: Desktops]
2023-05-15 18:05:559 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (26094db49674fcd41787e000d5735781)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (26094db49674fcd41787e000d5735781)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-15 18:05:650 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 18:05:773 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> link text: Desktops]
2023-05-15 18:05:809 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-15 18:05:229 INFO  HomePage :74 - Select £ Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-15 18:05:894 INFO  DesktopPage :60 - Select Name (Z - A) to sort by [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> id: input-sort]
2023-05-15 18:05:920 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a]]
2023-05-15 18:05:169 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a]]
2023-05-15 18:05:571 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 18:05:53 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> link text: Desktops]
2023-05-15 18:05:144 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-15 18:05:93 INFO  HomePage :74 - Select £ Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-15 18:05:67 INFO  DesktopPage :60 - Select Name (Z - A) to sort by [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> id: input-sort]
